sep=; 
"url";"year";"month";"valor";"count";"site";"region";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"tecnica";"unidad";"pollutant"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;3;11.8881086967375;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;4;12.4538525181159;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;5;12.0761737903226;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;6;13.5085858585859;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;7;12.8726989575388;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;8;13.2633885731158;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;9;11.2977108036891;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;10;10.4809702919801;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;11;10.5131407240103;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2017;12;13.0012431467551;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
