sep=; 
"codigo_nacional";"nombre";"site";"propietario";"latitud";"longitud";"altura_metros";"codigo_OMM";"codigo_OACI";"obs_meteorologicas";"region_meteo";"comuna";"provincia";"region"
180042;"Cerro Sombrero, Arica";"Cerro Sombrero, Arica";"Dirección Meteorológica de Chile";-18.5125;-70.26556;122;85408;NA;135746;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180043;"Arica, Azapa1";"Arica, Azapa1";"Fundación para el Desarrollo Frutícola";-18.50972;-70.24805;141;NA;NA;6485;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180910;"Retén Central, Arica";"Retén Central, Arica";"Dirección Meteorológica de Chile";-18.36167;-69.95944;1492;NA;NA;2557;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
190009;"Camarones";"Camarones";"Instituto de Investigación Agropecuaria";-19.01056;-69.85722;100;NA;NA;48802;"Región de Arica y Parinacota";"Camarones";"Arica";"XV"
230905;"Antofagasta, Oficina Meteorológica";"Antofagasta, Oficina Meteorológica";"Dirección Meteorológica de Chile";-23.7;-70.4;94;NA;NA;3558;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
190001;"Camiña tenencia";"Camiña tenencia";"Dirección Meteorológica de Chile";-19.31278;-69.42722;2417;NA;NA;15341;"Región de Tarapacá";"Camina";"Tamarugal";"I"
190002;"Pisagua tenencia";"Pisagua tenencia";"Dirección Meteorológica de Chile";-19.59583;-70.21139;10;NA;NA;8794;"Región de Tarapacá";"Huara";"Tamarugal";"I"
190004;"Chusmiza";"Chusmiza";"Dirección Meteorológica de Chile";-19.68333;-69.2;3300;NA;NA;3361;"Región de Tarapacá";"Iquique";"Iquique";"I"
190005;"Zapiga";"Zapiga";"Dirección Meteorológica de Chile";-19.62083;-69.90472;1164;NA;NA;7890;"Región de Tarapacá";"Pica";"Tamarugal";"I"
190901;"Pumire, Colchane";"Pumire, Colchane";"Dirección Meteorológica de Chile";-19.11667;-69.13333;4100;NA;NA;310;"Región de Tarapacá";"Alto Hospicio";"Iquique";"I"
200001;"Huara tenencia";"Huara tenencia";"Dirección Meteorológica de Chile";-19.99555;-69.76694;1113;NA;NA;4394;"Región de Tarapacá";"Iquique";"Iquique";"I"
200002;"Mamiña retén";"Mamiña retén";"Dirección Meteorológica de Chile";-20.07055;-69.21722;2774;NA;NA;13879;"Región de Tarapacá";"Pozo Almonte";"Tamarugal";"I"
200003;"Iquique, Cavancha Ap.";"Iquique, Cavancha Ap.";"Dirección Meteorológica de Chile";-20.23361;-70.14389;9;85417;NA;128954;"Región de Tarapacá";"Iquique";"Iquique";"I"
200004;"Huatacondo";"Huatacondo";"Dirección Meteorológica de Chile";-20.92778;-69.05389;2299;NA;NA;30605;"Región de Tarapacá";"Alto Hospicio";"Iquique";"I"
200005;"Iquique, Los Condores Ad.";"Iquique, Los Condores Ad.";"Dirección Meteorológica de Chile";-20.25389;-70.085;529;NA;NA;46901;"Región de Tarapacá";"Iquique";"Iquique";"I"
200006;"Diego Aracena Iquique Ap.";"Diego Aracena Iquique Ap.";"Dirección Meteorológica de Chile";-20.54917;-70.18111;48;85418;NA;1168588;"Región de Tarapacá";"Iquique";"Iquique";"I"
200007;"La Huayca, Pozo Almonte";"La Huayca, Pozo Almonte";"Dirección Meteorológica de Chile";-20.42167;-69.6275;992;85419;NA;94393;"Región de Tarapacá";"Pozo Almonte";"Tamarugal";"I"
200010;"UNAP (Universidad Arturo Prat), Iquique";"UNAP (Universidad Arturo Prat), Iquique";"Dirección Meteorológica de Chile";-20.27083;-70.13083;30;85416;NA;183847;"Región de Tarapacá";"Iquique";"Iquique";"I"
200907;"Coyacagua, Pica";"Coyacagua, Pica";"Dirección Meteorológica de Chile";-20.03917;-68.83028;3928;NA;NA;852;"Región de Tarapacá";"Iquique";"Iquique";"I"
210001;"Quillagua retén (Pueblo)";"Quillagua retén (Pueblo)";"Dirección Meteorológica de Chile";-21.65833;-69.53444;809;NA;NA;21609;"Región de Antofagasta";"Maria Elena";"Tocopilla";"II"
210002;"Ascotán FFCC";"Ascotán FFCC";"Dirección Meteorológica de Chile";-21.72528;-68.27528;3973;NA;NA;2993;"Región de Antofagasta";"Ollague";"El Loa";"II"
210004;"Quillagua retén (Aduana)";"Quillagua retén (Aduana)";"Dirección Meteorológica de Chile";-21.6275;-69.55111;799;NA;NA;182;"Región de Antofagasta";"Maria Elena";"Tocopilla";"II"
210007;"Ollagüe INIA";"Ollagüe INIA";"Instituto de Investigación Agropecuaria";-21.22389;-68.25556;3706;NA;NA;54268;"Región de Antofagasta";"Ollague";"El Loa";"II"
210901;"Ollagüe";"Ollagüe";"Dirección Meteorológica de Chile";-21.22417;-68.25583;3708;85424;NA;127609;"Región de Antofagasta";"Ollague";"El Loa";"II"
220002;"El Loa, Calama Ad.";"El Loa, Calama Ad.";"Dirección Meteorológica de Chile";-22.49806;-68.8925;2321;85432;NA;460082;"Región de Antofagasta";"Calama";"El Loa";"II"
220003;"Tocopilla";"Tocopilla";"Dirección Meteorológica de Chile";-22.09111;-70.20028;19;NA;NA;6217;"Región de Antofagasta";"Tocopilla";"Tocopilla";"II"
220004;"Sierra Gorda retén";"Sierra Gorda retén";"Dirección Meteorológica de Chile";-22.89194;-69.32028;1626;NA;NA;4635;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
220007;"María Elena (Soquimich - Radiación - UV)";"María Elena (Soquimich - Radiación - UV)";"Dirección Meteorológica de Chile";-22.35;-69.66667;1210;NA;NA;271359;"Región de Antofagasta";"Maria Elena";"Tocopilla";"II"
220008;"San Pedro de Atacama (Universidad Católica del Norte - Radiación UV)";"San Pedro de Atacama (Universidad Católica del Norte - Radiación UV)";"Dirección Meteorológica de Chile";-22.91083;-68.2;2450;NA;NA;395069;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
220009;"San Pedro de Atacama II (Universidad Católica del Norte - radiación UV)";"San Pedro de Atacama II (Universidad Católica del Norte - radiación UV)";"Dirección Meteorológica de Chile";-22.90583;-68.19694;2450;NA;NA;200533;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
220022;"Caspana";"Caspana";"Instituto de Investigación Agropecuaria";-22.33444;-68.21361;3245;NA;NA;54248;"Región de Antofagasta";"Calama";"El Loa";"II"
220023;"Calama Rural";"Calama Rural";"Instituto de Investigación Agropecuaria";-22.47111;-68.94306;2244;NA;NA;54187;"Región de Antofagasta";"Calama";"El Loa";"II"
220024;"San Pedro de Atacama INIA";"San Pedro de Atacama INIA";"Instituto de Investigación Agropecuaria";-22.93222;-68.21333;2416;NA;NA;54289;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
220901;"El Loa - Chuquicamata CODELCO";"El Loa - Chuquicamata CODELCO";"Dirección Meteorológica de Chile";-22.29944;-68.89389;2854;NA;NA;154;"Región de Antofagasta";"Calama";"El Loa";"II"
220903;"Pedro de Valdivia";"Pedro de Valdivia";"Dirección Meteorológica de Chile";-22.58333;-69.66667;0;NA;NA;2440;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
230001;"Cerro Moreno Antofagasta Ap.";"Cerro Moreno Antofagasta Ap.";"Dirección Meteorológica de Chile";-23.45361;-70.44528;112;85442;NA;1286491;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
230002;"Universidad Católica del Norte, Antofagasta";"Universidad Católica del Norte, Antofagasta";"Dirección Meteorológica de Chile";-23.68083;-70.41111;31;85443;NA;203587;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
230004;"Toconao";"Toconao";"Dirección Meteorológica de Chile";-23.18611;-68.00556;2495;85439;NA;353948;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
230019;"Toconao";"Toconao-Inv Agro";"Instituto de Investigación Agropecuaria";-23.19055;-68.00722;2478;NA;NA;53727;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
230020;"Socaire";"Socaire";"Instituto de Investigación Agropecuaria";-23.59055;-67.89;3357;NA;NA;54222;"Región de Antofagasta";"San Pedro de Atacama";"El Loa";"II"
230022;"Mejillones";"Mejillones";"Dirección Meteorológica de Chile";-23.10917;-70.44333;31;85440;NA;68699;"Región de Antofagasta";"Mejillones";"Antofagasta";"II"
230901;"Sierra Gorda, Baquedano";"Sierra Gorda, Baquedano";"Dirección Meteorológica de Chile";-23.33111;-69.84111;1034;NA;NA;2870;"Región de Antofagasta";"Sierra Gorda";"Antofagasta";"II"
250003;"Catalina retén";"Catalina retén";"Dirección Meteorológica de Chile";-25.26139;-69.70389;2174;NA;NA;7249;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
250005;"Taltal";"Taltal";"Dirección Meteorológica de Chile";-25.41111;-70.48417;37;85455;NA;308125;"Región de Antofagasta";"Antofagasta";"Antofagasta";"II"
260001;"El Salvador comisaría";"El Salvador comisaría";"Dirección Meteorológica de Chile";-26.24639;-69.62611;2240;NA;NA;10896;"Región de Atacama";"Diego de Almagro";"Chanaral";"III"
260002;"Chañaral Ad.";"Chañaral Ad.";"Dirección Meteorológica de Chile";-26.33222;-70.61083;23;85460;NA;141067;"Región de Atacama";"Chanaral";"Chanaral";"III"
260003;"Llanta control (retén)";"Llanta control (retén)";"Dirección Meteorológica de Chile";-26.33305;-69.82333;1187;NA;NA;6553;"Región de Atacama";"Chanaral";"Chanaral";"III"
260004;"Potrerillos";"Potrerillos";"Dirección Meteorológica de Chile";-26.43472;-69.48083;2877;85461;NA;515;"Región de Atacama";"Diego de Almagro";"Chanaral";"III"
260005;"Inca de Oro retén";"Inca de Oro retén";"Dirección Meteorológica de Chile";-26.75528;-69.90528;1592;NA;NA;8270;"Región de Atacama";"Diego de Almagro";"Chanaral";"III"
260901;"Pueblo Hundido retén";"Pueblo Hundido retén";"Dirección Meteorológica de Chile";-26.39111;-70.04611;788;NA;NA;7554;"Región de Atacama";"Diego de Almagro";"Chanaral";"III"
270002;"Copiapó, Chamonate Ad.";"Copiapó, Chamonate Ad.";"Dirección Meteorológica de Chile";-27.29944;-70.41417;305;85470;NA;233476;"Región de Atacama";"Copiapo";"Copiapo";"III"
270003;"Copiapó particular";"Copiapó particular";"Dirección Meteorológica de Chile";-27.36805;-70.31;434;NA;NA;10619;"Región de Atacama";"Copiapo";"Copiapo";"III"
270004;"Los Loros retén";"Los Loros retén";"Dirección Meteorológica de Chile";-27.83222;-70.10722;956;NA;NA;12020;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
270006;"Caldera";"Caldera";"Dirección Meteorológica de Chile";-27.05;-70.85;14;85466;NA;7582;"Región de Atacama";"Caldera";"Copiapo";"III"
270008;"Desierto de Atacama, Caldera Ad.";"Desierto de Atacama, Caldera Ad.";"Dirección Meteorológica de Chile";-27.25444;-70.78111;197;85467;NA;552720;"Región de Atacama";"Caldera";"Copiapo";"III"
270009;"Copiapó Universidad de Atacama";"Copiapó Universidad de Atacama";"Dirección Meteorológica de Chile";-27.35889;-70.35333;362;85471;NA;183283;"Región de Atacama";"Copiapo";"Copiapo";"III"
270013;"Amolana";"Amolana";"Instituto de Investigación Agropecuaria";-27.95972;-70.01;1090;NA;NA;54280;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
270014;"Copiapó INIA";"Copiapó INIA";"Instituto de Investigación Agropecuaria";-27.35;-70.41;346;NA;NA;59;"Región de Atacama";"Copiapo";"Copiapo";"III"
270015;"Caldera R.B.";"Caldera R.B.";"Dirección Meteorológica de Chile";-27.07583;-70.82111;50;85465;NA;27415;"Región de Atacama";"Caldera";"Copiapo";"III"
270016;"Copiapo";"Copiapo";"Fundación para el Desarrollo Frutícola";-27.34583;-70.40778;574;NA;NA;14942;"Región de Atacama";"Copiapo";"Copiapo";"III"
270017;"Tierra Amarilla, Tranque Lautaro";"Tierra Amarilla, Tranque Lautaro";"Fundación para el Desarrollo Frutícola";-28.97555;-70;1173;NA;NA;612;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
270018;"Tierra Amarilla, Jotabeche";"Tierra Amarilla, Jotabeche";"Fundación para el Desarrollo Frutícola";-27.58889;-70.24472;601;NA;NA;663;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
270019;"Tierra Amarilla, Hornitos";"Tierra Amarilla, Hornitos";"Fundación para el Desarrollo Frutícola";-27.72917;-70.19667;772;NA;NA;4085;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
280001;"Puerto Huasco Subcomisaría";"Puerto Huasco Subcomisaría";"Dirección Meteorológica de Chile";-28.4625;-71.225;25;NA;NA;15661;"Región de Atacama";"Huasco";"Huasco";"III"
280002;"Freirina tenencia";"Freirina tenencia";"Dirección Meteorológica de Chile";-28.50861;-71.07833;102;NA;NA;9555;"Región de Atacama";"Freirina";"Huasco";"III"
280003;"Vallenar, Ad.";"Vallenar, Ad.";"Dirección Meteorológica de Chile";-28.59333;-70.75694;535;85486;NA;254458;"Región de Atacama";"Chanaral";"Chanaral";"III"
280004;"El Tránsito escuela";"El Tránsito escuela";"Dirección Meteorológica de Chile";-28.87667;-70.28055;1108;NA;NA;12945;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280005;"San Félix fundo";"San Félix fundo";"Dirección Meteorológica de Chile";-28.93833;-70.45861;1183;NA;NA;12312;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280006;"Conay retén";"Conay retén";"Dirección Meteorológica de Chile";-28.97417;-70.13694;1448;NA;NA;4379;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280007;"El Parral";"El Parral";"Dirección Meteorológica de Chile";-28.97944;-70.19722;1265;NA;NA;18892;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280008;"San felix retén";"San felix retén";"Dirección Meteorológica de Chile";-28.93361;-70.46167;1145;NA;NA;5779;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280009;"El Pino";"El Pino";"Dirección Meteorológica de Chile";-28.46833;-71.16194;37;NA;NA;3439;"Región de Atacama";"Huasco";"Huasco";"III"
280010;"Freirina Nicolasa";"Freirina Nicolasa";"Dirección Meteorológica de Chile";-28.51694;-71.01;156;85484;NA;182147;"Región de Atacama";"Freirina";"Huasco";"III"
280021;"CE Huasco";"CE Huasco";"Instituto de Investigación Agropecuaria";-28.58111;-70.79833;470;NA;NA;54300;"Región de Atacama";"Copiapo";"Copiapo";"III"
280022;"Freirina Vallenar";"Freirina Vallenar";"Fundación para el Desarrollo Frutícola";-28.52639;-70.94306;230;NA;NA;16028;"Región de Atacama";"Vallenar";"Huasco";"III"
280023;"Alto del Carmen";"Alto del Carmen";"Fundación para el Desarrollo Frutícola";-28.76805;-70.44917;822;NA;NA;19451;"Región de Atacama";"Alto del Carmen";"Huasco";"III"
280024;"Freirina";"Freirina";"Fundación para el Desarrollo Frutícola";-28.50667;-71.10361;100;NA;NA;7395;"Región de Atacama";"Freirina";"Huasco";"III"
280025;"Tierra Amarilla, Iglesia Colorada-Quebrada Seca";"Tierra Amarilla, Iglesia Colorada-Quebrada Seca";"Fundación para el Desarrollo Frutícola";-28.14889;-69.89194;1516;NA;NA;7065;"Región de Atacama";"Tierra Amarilla";"Copiapo";"III"
280902;"Vallenar Campex";"Vallenar Campex";"Dirección Meteorológica de Chile";-28.57583;-70.75722;393;NA;NA;1430;"Región de Atacama";"Chanaral";"Chanaral";"III"
260007;"Isla San Felix";"Isla San Felix";"Dirección Meteorológica de Chile";-26.29139;-80.09528;44;85452;NA;10333;"Región de Valparaíso";"Juan Fernandez";"Valparaiso";"V"
270001;"Mataveri Isla de Pascua Ap.";"Mataveri Isla de Pascua Ap.";"Dirección Meteorológica de Chile";-27.15889;-109.4325;44;85469;NA;716749;"Región de Valparaíso";"Isla de Pascua";"Isla de Pascua";"V"
320003;"Hierro Viejo";"Hierro Viejo";"Dirección Meteorológica de Chile";-32.28305;-71.01694;391;NA;NA;2191;"Región de Valparaíso";"Petorca";"Petorca";"V"
320004;"Petorca tenencia";"Petorca tenencia";"Dirección Meteorológica de Chile";-32.25028;-70.92583;528;NA;NA;17183;"Región de Valparaíso";"Petorca";"Petorca";"V"
320005;"Huaquén hacienda";"Huaquén hacienda";"Dirección Meteorológica de Chile";-32.28417;-71.45972;93;NA;NA;20384;"Región de Valparaíso";"La Ligua";"Petorca";"V"
320006;"Trapiche Longotoma";"Trapiche Longotoma";"Dirección Meteorológica de Chile";-32.32194;-71.29028;60;NA;NA;21209;"Región de Valparaíso";"La Ligua";"Petorca";"V"
320007;"Casas de Alicahue";"Casas de Alicahue";"Dirección Meteorológica de Chile";-32.35111;-70.78361;642;NA;NA;20939;"Región de Valparaíso";"Cabildo";"Petorca";"V"
320008;"Pedehua retén";"Pedehua retén";"Dirección Meteorológica de Chile";-32.35556;-71.07;281;NA;NA;2191;"Región de Valparaíso";"Petorca";"Petorca";"V"
