sep=; 
"codigo_comuna";"poblacion";"15-44";"45-64";"65+";"mujer";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"superficie";"perimetro";"casos_fallecidos";"tasa_mortalidad";"mp25";"casos_confirmados";"tasa_contagios";"dias_primerContagio";"hr_summer";"hr_winter";"tmed_summer";"tmed_winter";"ingresoTotal_media";"ingresoTotal_mediana";"ingresoAutonomo_media";"ingresoAutonomo_mediana";"perc_ocupado";"perc_menor_media";"perc_isapre";"perc_puebloOrig";"viviendas";"perc_rural";"perc_material_irrecuperable";"pcr_region";"consumo_lena_m3";"penetracion_lena";"defunciones";"tasa_mortalidad_all";"tasa_camas";"dias_cuarentena";"densidad_pob"
"02201";165731;0.486993984227453;0.223199039407232;0.0670182404016147;0.480791161581116;"Calama";"022";"El Loa";"02";"Antofagasta";"II";15599279793.449;645088.225379172;177;92.9934431741762;8.19914161941221;6076;3192.24949562878;112;33.1274238227147;17.1887052341598;16.4753462603878;10.1711956521739;640630.169844872;454618.181818182;693698.734842246;5e+05;0.561308022088531;0.331785976056682;0.194664422886557;0.234289300130935;57307;0.043709384484496;0.0228593365557436;46749;3231.12975686553;0.0564520133061914;692;417.544092535494;187.05009925723;42;1.06242725429927e-05
"02202";321;0.520249221183801;0.224299065420561;0.0747663551401869;0.355140186915888;"Ollague";"022";"El Loa";"02";"Antofagasta";"II";2920466961.32699;285965.198143539;0;0;NA;21;7317.07317073171;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.669781931464174;439;1;0.0136674259681093;46749;6.25828995151079;0.0564520133061914;NA;NA;NA;NA;1.0991392960465e-07
"02203";10996;0.561749727173518;0.210349217897417;0.0642961076755184;0.439705347399054;"San Pedro de Atacama";"022";"El Loa";"02";"Antofagasta";"II";23552833092.4177;714735.921830688;5;47.9202606862181;NA;235;2252.25225225225;109;NA;NA;NA;NA;427503.154368231;380447.15;455383.544213367;4e+05;0.642660320641283;0.416955927211528;0.0462067483344079;0.501455074572572;4144;0.497635503819571;0.0422297297297297;46749;214.380549242407;0.0564520133061914;13;118.224809021462;NA;NA;4.6686527930009e-07
"02301";25186;0.417215913602795;0.237076153418566;0.106170094496943;0.504446914952752;"Tocopilla";"023";"Tocopilla";"02";"Antofagasta";"II";4032115547.95764;371298.844040437;6;21.3682823462374;15.9003421625921;261;929.520282061327;102;NA;NA;NA;NA;340671.72358209;220000;433095.961203007;340000;0.485288522511097;0.369378041606503;0.1484366117112;0.0693639323433654;10670;0.0220360517747955;0.0180880974695408;46749;491.032058313865;0.0564520133061914;135;536.012070197729;158.818391169697;31;6.24634877161625e-06
"02302";6457;0.520520365494812;0.278302617314542;0.0461514635279542;0.366269165247019;"Maria Elena";"023";"Tocopilla";"02";"Antofagasta";"II";12440692726.1975;584448.736067248;10;146.756677428823;NA;306;4490.75432932198;102;NA;NA;NA;NA;498603.816787732;5e+05;522546.904273504;5e+05;0.560224089635854;0.35902004454343;0.365798922800718;0.108564348768778;1959;0.237261886324919;0.0188871873404798;46749;125.887159554222;0.0564520133061914;6;92.9224097878272;92.9224097878272;NA;5.19022544974757e-07
"03101";153937;0.454874396668767;0.226293873467717;0.0882698766378454;0.502218440011173;"Copiapo";"031";"Copiapo";"03";"Atacama";"III";17789746704.8879;1204040.99835029;7;4.07531176134974;13.8067517349063;1335;777.220171628844;112;NA;NA;NA;NA;486622.079034872;334844.3375;546945.80803343;385881.483870968;0.510107694866955;0.367276243565314;0.15591284112545;0.172531620078344;55565;0.0193260879450684;0.0163412219922613;20130;3001.19121578105;0.0564520133061914;938;609.340184620981;272.189272234745;NA;8.65313051127951e-06
"03102";17662;0.423338240289888;0.249631978258408;0.100328388630959;0.485109274147888;"Caldera";"031";"Copiapo";"03";"Atacama";"III";3679563242.90006;423705.407103987;0;0;NA;70;360.341809945434;81;69.0128491620112;75.9606557377049;18.8851955307263;12.1715846994536;352830.548784273;277447.684210526;417529.153003351;3e+05;0.512578888216478;0.4012549760475;0.0441678520625889;0.168497338919715;15651;0.106839542520666;0.00913679637083892;20130;344.342420945743;0.0564520133061914;48;271.769901483411;NA;NA;4.80002620802343e-06
"03103";14019;0.458734574506028;0.24010271774021;0.0761823239888722;0.443897567586846;"Tierra Amarilla";"031";"Copiapo";"03";"Atacama";"III";11259438890.6805;649292.915219663;0;0;NA;125;873.392956959195;105;NA;NA;NA;NA;346803.677207155;3e+05;408114.379579665;350000;0.543491301739652;0.485252140818268;0.0592923952826352;0.30380198302304;4745;0.291318924316998;0.0227608008429926;20130;273.317653676728;0.0564520133061914;15;106.997646051787;NA;NA;1.24508868835405e-06
"03201";12219;0.415009411572142;0.233570668630821;0.110156313937311;0.486864718880432;"Chanaral";"032";"Chanaral";"03";"Atacama";"III";5773315879.967;435319.882471419;0;0;NA;39;296.262534184139;56;NA;NA;NA;NA;336403.294614426;230202.043103448;420386.350981118;332685.714285714;0.461493582263711;0.406802237811917;0.0452501674160528;0.0934610033554301;6153;0.0929699648089042;0.0221030391678856;20130;238.224438995359;0.0564520133061914;40;327.359031017268;310.991079466405;NA;2.11646136363317e-06
"03202";13925;0.441149012567325;0.251992818671454;0.0718132854578097;0.462405745062837;"Diego de Almagro";"032";"Chanaral";"03";"Atacama";"III";18991019303.8214;831005.212506855;3;20.8942749686586;NA;52;362.167432790082;102;NA;NA;NA;NA;549362.525512429;337755.652173913;618898.022579027;419775.730769231;0.525004153513873;0.410570100318082;0.139598898938262;0.112746858168761;6914;0.0481149012567325;0.0141741394272491;20130;271.485008021146;0.0564520133061914;30;215.439856373429;201.077199281867;NA;7.33241316710053e-07
"03301";51917;0.404106554693068;0.244890883525627;0.12271510295279;0.510333802030164;"Vallenar";"033";"Huasco";"03";"Atacama";"III";7227953713.22842;613058.175524427;0;0;NA;442;775.31617814731;91;NA;NA;NA;NA;404981.147333071;282624.4;466118.16937484;350000;0.507104204647394;0.39067684525605;0.0977404998288257;0.233449544465204;19402;0.113604407034305;0.0290176270487579;20130;1012.18579256257;0.0564520133061914;366;704.971396652349;219.581254694994;NA;7.18280748048826e-06
"03302";5299;0.378184563125118;0.26552179656539;0.163238346857898;0.448009058312889;"Alto del Carmen";"033";"Huasco";"03";"Atacama";"III";6158080998.55376;450550.739776137;0;0;NA;10;174.550532379124;49;NA;NA;NA;NA;264518.169162996;156794.714285714;342902.385242385;270000;0.448728465955701;0.678354686446392;0;0.50971881487073;2927;1;0.0710625213529211;20130;103.310524775874;0.0564520133061914;19;358.558218531798;NA;NA;8.60495339578106e-07
"03303";7041;0.388013066325806;0.254367277375373;0.126686550205937;0.494816077261753;"Freirina";"033";"Huasco";"03";"Atacama";"III";3222709218.16077;404145.938657942;0;0;NA;49;637.937768519724;88;NA;NA;NA;NA;273311.20681458;204740.666666667;332355.802163294;283337.837837838;0.449977158519872;0.503763346753019;0.0225120600321601;0.14032097713393;3511;0.348245987785826;0.0378809455995443;20130;137.272958095288;0.0564520133061914;31;440.27836954978;NA;NA;2.18480772646884e-06
"03304";10149;0.394423095871514;0.264853680165534;0.119026505074392;0.483397379052123;"Huasco";"033";"Huasco";"03";"Atacama";"III";1600908577.13777;281705.653822372;0;0;11.1483522580632;26;230.823863636364;95;NA;NA;NA;NA;372935.408234779;257140;448675.744103127;3e+05;0.450771869639794;0.42412656558998;0.138821630347054;0.133707754458567;6226;0.122869248201793;0.0245743655637649;20130;197.867242111785;0.0564520133061914;38;374.421125234013;147.797812592374;NA;6.33952503280678e-06
"04101";221054;0.449731739755897;0.228093587992074;0.109837415292191;0.521221059107729;"La Serena";"041";"Elqui";"04";"Coquimbo";"IV";1900495367.1058;255554.278660123;16;6.4088185343032;NA;1709;684.541929695261;112;77.2447222222222;81.0090163934426;17.55;11.0858310626703;479884.575625232;262940.25;600294.554661807;3e+05;0.437227183322289;0.357832374397454;0.0787614209765621;0.0791797479348937;87464;0.0923484759380061;0.00603676941370164;25601;4309.7197100974;0.0564520133061914;1498;677.662471613271;142.499117862604;NA;0.000116313885224901
