sep=; 
"codigo_comuna";"poblacion";"15-44";"45-64";"65+";"perc_mujer";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"superficie";"perimetro";"casos_fallecidos";"tasa_mortalidad";"mp25";"casos_confirmados";"tasa_contagios";"dias_primerContagio";"hr_summer";"hr_winter";"tmed_summer";"tmed_winter";"ingresoTotal_media";"ingresoTotal_mediana";"ingresoAutonomo_media";"ingresoAutonomo_mediana";"perc_ocupado";"perc_menor_media";"perc_isapre";"perc_puebloOrig";"viviendas";"perc_rural";"perc_material_irrecuperable";"pcr_region";"consumo_lena_m3";"penetracion_lena";"defunciones";"tasa_mortalidad_all";"tasa_camas";"dias_cuarentena";"densidad_pob";"perc_letalidad"
"01107";108375;48.80184544406;18.6251441753172;4.25928489042676;49.9829296424452;"Alto Hospicio";"011";"Iquique";"01";"Tarapaca";"I";574120502.043465;101901.048786893;39;30.0002307710059;11.5892081390297;2371;1823.86018353987;109;NA;NA;NA;NA;341771.582782774;3e+05;410591.611502389;345000;55.0503762982011;43.5965641451926;7.30366254770875;29.5049596309112;33178;2.29850057670127;5.77491108565917;35185;2112.90396727409;5.64520133061913;122;112.572087658593;14.7635524798155;70;188.766991623294;1.64487557992408
"02101";361873;49.3396854697643;21.7012598342512;7.88536309699812;49.7486687318479;"Antofagasta";"021";"Antofagasta";"02";"Antofagasta";"II";30710715021.2411;1085664.21940036;111;26.0731692994304;9.71576735769501;6743;1583.88631158612;116;69.9465373961219;73.4815217391304;20.090027700831;14.0589673913043;592141.970412885;383680.346666667;664882.756229776;419857.594936709;52.4646824042224;30.9508390365715;25.2124207425119;7.3373807938144;112451;2.14688578589726;1.55534410543259;47512;7055.15937577279;5.64520133061913;2194;606.29005203483;247.600677585783;80;11.7832814947392;1.6461515645855
"02103";10186;67.779304928333;27.8421362654624;1.23699194973493;14.9617121539368;"Sierra Gorda";"021";"Antofagasta";"02";"Antofagasta";"II";12890754540.8714;533791.408523378;0;0;9.5130814296578;60;3436.42611683849;77;NA;NA;NA;NA;422115.689783743;363978.706896552;483998.297909408;389137.931034483;64.6803227808814;39.7527341892534;10.6758080313418;13.5676418613784;570;100;2.63157894736842;47512;198.588602635791;5.64520133061913;NA;0;0;0;0.790178725977934;0
"02201";165731;48.6993984227453;22.3199039407232;6.70182404016147;48.0791161581116;"Calama";"022";"El Loa";"02";"Antofagasta";"II";15599279793.449;645088.225379172;177;92.9934431741762;8.19914161941221;6076;3192.24949562878;112;33.1274238227147;17.1887052341598;16.4753462603878;10.1711956521739;640630.169844872;454618.181818182;693698.734842246;5e+05;56.1308022088531;33.1785976056682;19.4664422886557;23.4289300130935;57307;4.3709384484496;2.28593365557436;47512;3231.12975686553;5.64520133061913;692;417.544092535494;187.05009925723;42;10.6242725429927;2.91310072416063
"02301";25186;41.7215913602795;23.7076153418566;10.6170094496943;50.4446914952752;"Tocopilla";"023";"Tocopilla";"02";"Antofagasta";"II";4032115547.95764;371298.844040437;6;21.3682823462374;15.9003421625921;261;929.520282061327;102;NA;NA;NA;NA;340671.72358209;220000;433095.961203007;340000;48.5288522511097;36.9378041606503;14.84366117112;6.93639323433654;10670;2.20360517747955;1.80880974695408;47512;491.032058313865;5.64520133061913;135;536.012070197729;158.818391169697;31;6.24634877161625;2.29885057471264
"03101";153937;45.4874396668767;22.6293873467717;8.82698766378454;50.2218440011173;"Copiapo";"031";"Copiapo";"03";"Atacama";"III";17789746704.8879;1204040.99835029;7;4.07531176134974;13.8067517349063;1335;777.220171628844;112;NA;NA;NA;NA;486622.079034872;334844.3375;546945.80803343;385881.483870968;51.0107694866955;36.7276243565314;15.591284112545;17.2531620078344;55565;1.93260879450684;1.63412219922613;21231;3001.19121578105;5.64520133061913;938;609.340184620981;272.189272234745;0;8.65313051127951;0.52434456928839
"03304";10149;39.4423095871514;26.4853680165534;11.9026505074392;48.3397379052123;"Huasco";"033";"Huasco";"03";"Atacama";"III";1600908577.13777;281705.653822372;0;0;11.1483522580632;26;230.823863636364;95;NA;NA;NA;NA;372935.408234779;257140;448675.744103127;3e+05;45.0771869639794;42.412656558998;13.8821630347054;13.3707754458567;6226;12.2869248201793;2.45743655637649;21231;197.867242111785;5.64520133061913;38;374.421125234013;147.797812592374;0;6.33952503280678;0
"04102";227730;44.0266982830545;22.9960918631713;10.5787555438458;51.753392174944;"Coquimbo";"041";"Elqui";"04";"Coquimbo";"IV";1425051808.20661;260551.34719566;12;4.67408027732876;13.8832785083556;2017;785.63499328101;116;NA;NA;NA;NA;289741.082465146;250000;357476.615633975;280000;46.0901818879468;38.6255855347504;3.29813242354252;7.24981337548852;89499;5.78755543845782;0.605593358585012;26131;4439.87654410453;5.64520133061913;1152;505.862205243051;132.174065779651;0;159.804716353851;0.59494298463064
"05101";296655;45.2020023259342;23.6773356255583;13.3565926749928;51.1402133791778;"Valparaiso";"051";"Valparaiso";"05";"Valparaiso";"V";316046771.991761;122848.054909939;80;25.3379448392941;14.6051944210526;3693;1169.66287864391;116;NA;NA;NA;NA;392876.194858939;280000;436684.714374358;302083;50.4915683688091;28.980176088156;10.2269910983086;6.14653385245487;117196;0.248436736276146;2.70316393050957;71261;51320.1639295513;19.8937114109307;2742;924.306012034181;293.607051962718;42;938.642714590779;2.16626049282426
"05103";42152;43.0845511482255;25.8398178022395;11.6127348643006;51.7911368381097;"Concon";"051";"Valparaiso";"05";"Valparaiso";"V";76369727.3525047;44057.7366720838;6;13.0750288740221;16.039702936786;475;1035.10645252675;112;NA;NA;NA;NA;623713.911894184;309881.313157895;684253.622949338;343605.228956229;55.2988200073252;37.6279674956424;17.3418178648369;4.77557411273486;20290;6.50740178401974;0.438639724001971;71261;7292.13244327062;19.8937114109307;129;306.035300816094;0;0;551.946451313572;1.26315789473684
